label:v(.5)
85299
115.973	-3.24349
115.986	-4.26704
115.999	-5.27157
116.02	-6.90457
116.042	-8.4937
116.063	-10.0437
116.085	-11.5581
116.106	-13.0389
116.127	-14.4872
116.149	-15.903
116.17	-17.2855
116.192	-18.6331
116.213	-19.9437
116.235	-21.2152
116.256	-22.4452
116.277	-23.6315
116.299	-24.7722
116.32	-25.8658
116.342	-26.9111
116.363	-27.9076
116.385	-28.8551
116.406	-29.7542
116.427	-30.6058
116.449	-31.4111
116.47	-32.1718
116.492	-32.8897
116.513	-33.567
116.547	-34.5461
116.58	-35.4401
116.613	-36.2576
116.647	-37.0067
116.68	-37.6951
116.702	-38.1153
116.724	-38.5143
116.746	-38.8938
116.767	-39.2553
116.789	-39.6
116.811	-39.9291
116.833	-40.2437
116.855	-40.5447
116.876	-40.8329
116.898	-41.1091
116.92	-41.3738
116.942	-41.6278
116.964	-41.8715
116.985	-42.1055
117.018	-42.4416
117.051	-42.7578
117.084	-43.0553
117.117	-43.3354
117.15	-43.5992
117.183	-43.8477
117.216	-44.0817
117.249	-44.3023
117.282	-44.5102
117.315	-44.7062
117.348	-44.8909
117.381	-45.065
117.414	-45.2291
117.447	-45.3836
117.48	-45.5291
117.513	-45.6661
117.546	-45.7948
117.579	-45.9157
117.612	-46.0291
117.645	-46.1354
117.678	-46.235
117.711	-46.3282
117.744	-46.4149
117.776	-46.4956
117.809	-46.5706
117.842	-46.6403
117.875	-46.7048
117.908	-46.7643
117.941	-46.819
117.974	-46.8694
118.007	-46.9157
118.04	-46.958
118.073	-46.9964
118.106	-47.031
118.139	-47.0622
118.172	-47.0902
118.205	-47.1149
118.238	-47.1363
118.271	-47.1549
118.304	-47.171
118.337	-47.1848
118.37	-47.1963
118.403	-47.2051
118.462	-47.2147
118.521	-47.2171
118.58	-47.2131
118.639	-47.2027
118.698	-47.1855
118.757	-47.1611
118.816	-47.13
118.875	-47.0923
118.934	-47.0469
118.993	-46.9925
119.052	-46.9282
119.111	-46.8529
119.17	-46.7655
119.229	-46.6639
119.288	-46.5442
119.347	-46.4017
119.406	-46.2303
119.465	-46.0207
119.524	-45.7598
119.554	-45.5982
119.585	-45.4114
119.615	-45.1924
119.646	-44.9323
119.676	-44.6179
119.692	-44.4233
119.708	-44.2037
119.725	-43.9534
119.741	-43.6654
119.757	-43.3301
119.773	-42.9347
119.783	-42.6706
